Date,Open,High,Low,Close,% Return,% YTD
2015-02-27,11245.33,11416.59,11245.23,11405.29,1.7763333431493056,68.96448928523517
2015-02-28,11469.49,11506.04,11276.18,11454.35,0.4301512719097955,68.24079934697298
2015-03-02,11511.99,11557.5,11451.92,11547.97,0.817331406845434,66.87686234030743
2015-03-03,11567.55,11634.45,11535.23,11622.12,0.6421041966683472,65.81217540345476
2015-03-04,11729.32,11764.8,11502.88,11526.28,-0.8246344040502063,67.19088899454115
2015-03-05,11547.93,11589.75,11465.87,11567.69,0.35926595571165176,66.5923792909388
2015-03-09,11532.58,11533.54,11346.12,11361.16,-1.7854040002800997,69.62079576381284
2015-03-10,11390.38,11414.63,11276.92,11319.91,-0.3630791222023144,70.23889765908034
2015-03-11,11333.62,11359.21,11275.98,11294.42,-0.2251784687334113,70.62310415231592
2015-03-12,11347.03,11423.31,11346.24,11410.47,1.0274985346746313,68.88778463989651
2015-03-13,11478.89,11493.57,11226.87,11246.4,-1.4378899379254295,71.35163252240717
2015-03-16,11263.86,11275.67,11196.24,11219.18,-0.24203300611750356,71.76736624245265
2015-03-17,11272.57,11356.98,11231.18,11333.53,1.0192367000083857,70.0343141104316
2015-03-18,11350.4,11371.49,11290.77,11314.16,-0.170908798935554,70.3254152318864
2015-03-19,11377.52,11445.65,11229.18,11248.12,-0.5836933541685685,71.32543038303287
2015-03-20,11252.3,11257.2,11124.22,11140.31,-0.9584712823120789,72.98342685257413
2015-03-23,11162.66,11185.85,11076.72,11086.38,-0.48409783928813344,73.82490948352844
2015-03-24,11094.29,11155.68,11061.12,11072.07,-0.12907730025489839,74.04956796696554
2015-03-25,11091.29,11106.07,11026.57,11046.55,-0.2304898722641835,74.45166137843944
2015-03-26,11000.39,11011.41,10832.45,10853.5,-1.7476044556897774,77.5546137190768
2015-03-27,10907.19,10922.42,10733.92,10843.47,-0.09241258580182654,77.71884830225011
2015-03-30,10903.44,11053.57,10902.89,11039.69,1.8095683392862272,74.5600646394962
2015-03-31,11081.58,11122.33,11007.8,11048.75,0.08206752182351451,74.41692499151486
2015-04-01,11048.98,11197.32,11034.38,11183.83,1.2225817400158379,72.31029083954243
2015-04-06,11216.63,11295.05,11185.29,11288.05,0.9318811176493247,70.7193890884608
2015-04-07,11318.35,11337.48,11228.06,11322.51,0.30527859107640776,70.1998055201541
2015-04-08,11355.68,11420.47,11355.63,11397.05,0.6583345918881767,69.08664961547069
2015-04-09,11452.86,11464.36,11361.73,11457.89,0.533822348765689,68.18882010562155
2015-04-10,11468.23,11489.22,11436.31,11475.18,0.15090038392759908,67.93540493482455
2015-04-13,11503.13,11548.07,11482.89,11537.93,0.5468323808428321,67.02207415021584
2015-04-15,11558.74,11567.6,11418.4,11449.28,-0.76833539465051,68.31530017608091
2015-04-16,11476.03,11476.03,11304.98,11374.56,-0.6526174571676258,69.42097100898847
2015-04-17,11384.6,11387.39,11225.52,11239.35,-1.188705321348682,71.45911462851498
2015-04-20,11267.64,11274.09,10985.41,11026.3,-1.8955722528438135,74.77204501963487
2015-04-21,11017.43,11056.38,10920.75,10949.97,-0.6922539745880307,75.9903451790279
2015-04-22,10980.54,11013.12,10832.58,10995.6,0.41671347044787144,75.26001309614753
2015-04-23,11030.04,11094.07,10932.18,10966.12,-0.26810724289715315,75.73116106699543
2015-04-24,10982.31,10989.83,10777.88,10812.99,-1.3963917958220495,78.21980784223419
2015-04-27,10851.87,10853.81,10634.15,10652.28,-1.486267905546934,80.90859421644943
2015-04-28,10657.79,10786.65,10613.36,10762.67,1.0363039649727623,79.05306025363595
2015-04-29,10779.07,10810.01,10708.82,10743.47,-0.17839439469946594,79.37305172351205
2015-04-30,10747.99,10748.31,10642.47,10696.83,-0.4341241703099574,80.15514876837342
2015-05-04,10763.48,10904.57,10755.44,10889.44,1.8006269147027743,76.96860444614231
2015-05-05,10913.81,10937.68,10850.9,10899.01,0.08788330713056514,76.81321514522878
2015-05-06,10906.56,10910.05,10570.95,10585.05,-2.880628607552438,82.05761900038262
2015-05-07,10587.13,10603.72,10411.97,10484.44,-0.9504914950803189,83.80466672516604
2015-05-08,10561.3,10699.71,10561.24,10663.02,1.7032860124145843,80.72637958101924
2015-05-11,10712.77,10840.98,10712.1,10831.92,1.58397902282843,77.9083486584096
2015-05-12,10836.24,10836.24,10585.91,10598.65,-2.1535424929283176,81.82400588754228
