DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
12022021,507794,27608,713667,148719,3855316,18.56
12022021,507813,225,8089,227,8183,99.12
12022021,507815,230,1304664,429,2441957,53.61
12022021,507828,6075,37119,7561,46118,80.35
12022021,507836,300,64815,370,80003,81.08
12022021,507852,1,5,1,5,100.0
12022021,507864,75,2172,95,2703,78.95
12022021,507872,210,3045,210,3045,100.0
12022021,507878,798547,1448924,798547,1448924,100.0
12022021,507880,5934,2108054,12730,4537329,46.61
12022021,507894,11,116,11,115,100.0
12022021,507910,77642,2333143,90709,2727100,85.59
12022021,507912,3277,390127,3473,421748,94.36
12022021,507944,8576,3050055,12615,4516120,67.98
12022021,507960,221,22752,385,39448,57.4
12022021,507970,108,1809,108,1809,100.0
12022021,507981,2568,62660,3642,89061,70.51
12022021,507998,7562,279416,8857,327194,85.38
12022021,508136,5108,878066,6643,1146423,76.89
12022021,508306,101,4858,101,4858,100.0
12022021,508486,1329,7552575,2016,11455430,65.92
12022021,508494,436,20514,456,21630,95.61
12022021,508807,1366,547015,1416,565081,96.47
12022021,508814,1186,596796,2778,1405997,42.69
12022021,508869,4110,11291609,32772,90313873,12.54
12022021,508875,25,1829,35,2581,71.43
12022021,508905,200,8990,200,8995,100.0
12022021,508906,3979,1256569,7172,2253653,55.48
12022021,508918,75,1872,90,2245,83.33
12022021,508922,322,3647,322,3647,100.0
12022021,508933,3490,173802,3608,183473,96.73
12022021,508941,792,359964,1214,557255,65.24
12022021,508954,325712,17767590,328946,18107499,99.02
12022021,508956,1150,1200,1150,1200,100.0
12022021,508969,41732,60512,54621,80970,76.4
12022021,508989,24854,2052941,47539,3942413,52.28
12022021,508996,6690,9432,6690,9432,100.0
12022021,509009,1006,49345,1076,53525,93.49
12022021,509020,34222,236931,34222,236931,100.0
12022021,509040,763,10475,763,10475,100.0
12022021,509048,6455,41054,7454,45665,86.6
12022021,509051,877029,473595,877029,473595,100.0
12022021,509053,620,2536,620,2538,100.0
12022021,509055,16761,8053661,23047,11249718,72.73
12022021,509069,38890,116670,42693,127714,91.09
12022021,509073,5717,109216,5717,109216,100.0
12022021,509077,2820,64578,3357,76552,84.0
12022021,509079,7447,857523,15087,1739825,49.36
12022021,509084,62,2139,62,2139,100.0
12022021,509148,2101,6366,2101,6366,100.0
12022021,509152,904,732964,2164,1797482,41.77
12022021,509162,6430,662612,7575,780798,84.88
